name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
EBM meta chi2 10 stack,Completed,2025-07-14T22:28:12.680755,Stack ensemble classifier with EBM classifier and chi2 10,0.5408401400233372,0.5498898912884382,0.5408401400233371,0.519028756982797,0.5408401400233372,0.5408401400233372,0.5408401400233372,0.5498898912884382,0.5408401400233372,0.5190287569827969,1714,2
EBM meta chi2 50 stack,Completed,2025-07-14T22:28:21.152679,Stack ensemble classifier with EBM classifier and chi2 50,0.5834305717619603,0.5849334606689556,0.5834305717619603,0.5815795951859957,0.5834305717619603,0.5834305717619603,0.5834305717619603,0.5849334606689556,0.5834305717619603,0.5815795951859957,1714,2
EBM meta chi2 100 stack,Completed,2025-07-14T22:28:33.286823,Stack ensemble classifier with EBM classifier and chi2 100,0.6726954492415402,0.6748439533293633,0.6726954492415402,0.6716868611441454,0.6726954492415402,0.6726954492415402,0.6726954492415402,0.6748439533293632,0.6726954492415402,0.6716868611441456,1714,2
EBM meta chi2 500 stack,Completed,2025-07-14T22:28:44.510454,Stack ensemble classifier with EBM classifier and chi2 500,0.6505250875145857,0.6505991107333181,0.6505250875145858,0.6504821383281673,0.6505250875145857,0.6505250875145857,0.6505250875145857,0.6505991107333182,0.6505250875145857,0.6504821383281671,1714,2
EBM meta chi2 1000 stack,Completed,2025-07-14T22:28:57.336404,Stack ensemble classifier with EBM classifier and chi2 1000,0.6277712952158693,0.627840920701479,0.6277712952158694,0.6277206069593613,0.6277712952158693,0.6277712952158693,0.6277712952158693,0.6278409207014791,0.6277712952158693,0.6277206069593613,1714,2
EBM meta chi2 5000 stack,Completed,2025-07-14T22:29:12.921862,Stack ensemble classifier with EBM classifier and chi2 5000,0.6522753792298717,0.6524879844564884,0.6522753792298717,0.6521541338585358,0.6522753792298717,0.6522753792298717,0.6522753792298717,0.6524879844564885,0.6522753792298717,0.6521541338585358,1714,2
ridge meta chi2 10 stack,Completed,2025-07-14T22:29:16.569610,Stack ensemble classifier with ridge classifier and chi2 10,0.543757292882147,0.5498681819662998,0.543757292882147,0.5293384778965908,0.543757292882147,0.543757292882147,0.543757292882147,0.5498681819662999,0.543757292882147,0.5293384778965908,1714,2
ridge meta chi2 50 stack,Completed,2025-07-14T22:29:21.985517,Stack ensemble classifier with ridge classifier and chi2 50,0.5840140023337222,0.5843125894994589,0.5840140023337224,0.5836453796085098,0.5840140023337222,0.5840140023337222,0.5840140023337222,0.5843125894994589,0.5840140023337222,0.5836453796085098,1714,2
ridge meta chi2 100 stack,Completed,2025-07-14T22:29:27.797183,Stack ensemble classifier with ridge classifier and chi2 100,0.6703617269544924,0.6722191023608175,0.6703617269544924,0.6694705405520713,0.6703617269544924,0.6703617269544924,0.6703617269544924,0.6722191023608174,0.6703617269544924,0.6694705405520713,1714,2
ridge meta chi2 500 stack,Completed,2025-07-14T22:29:35.291425,Stack ensemble classifier with ridge classifier and chi2 500,0.6499416569428238,0.6505393468237249,0.6499416569428238,0.6495938505151828,0.6499416569428238,0.6499416569428238,0.6499416569428238,0.6505393468237248,0.6499416569428238,0.6495938505151829,1714,2
ridge meta chi2 1000 stack,Completed,2025-07-14T22:29:44.123750,Stack ensemble classifier with ridge classifier and chi2 1000,0.6423570595099183,0.6431807226275773,0.6423570595099184,0.6418419734855574,0.6423570595099183,0.6423570595099183,0.6423570595099183,0.6431807226275773,0.6423570595099183,0.6418419734855573,1714,2
ridge meta chi2 5000 stack,Completed,2025-07-14T22:29:56.559861,Stack ensemble classifier with ridge classifier and chi2 5000,0.6441073512252042,0.6455052495693525,0.6441073512252042,0.6432505101100746,0.6441073512252042,0.6441073512252042,0.6441073512252042,0.6455052495693525,0.6441073512252042,0.6432505101100746,1714,2
LogReg meta chi2 10 stack,Completed,2025-07-14T22:30:02.000023,Stack ensemble classifier with LogReg classifier and chi2 10,0.5414235705950992,0.5466151231971661,0.5414235705950992,0.5282899159663865,0.5414235705950992,0.5414235705950992,0.5414235705950992,0.5466151231971661,0.5414235705950992,0.5282899159663865,1714,2
LogReg meta chi2 50 stack,Completed,2025-07-14T22:30:08.910863,Stack ensemble classifier with LogReg classifier and chi2 50,0.5857642940490082,0.5859515398124306,0.5857642940490082,0.5855385675888122,0.5857642940490082,0.5857642940490082,0.5857642940490082,0.5859515398124306,0.5857642940490082,0.5855385675888122,1714,2
LogReg meta chi2 100 stack,Completed,2025-07-14T22:30:16.257258,Stack ensemble classifier with LogReg classifier and chi2 100,0.6680280046674446,0.6695425669883279,0.6680280046674445,0.6672849498590185,0.6680280046674446,0.6680280046674446,0.6680280046674446,0.6695425669883278,0.6680280046674446,0.6672849498590185,1714,2
LogReg meta chi2 500 stack,Completed,2025-07-14T22:30:25.398859,Stack ensemble classifier with LogReg classifier and chi2 500,0.6522753792298717,0.6526078359934994,0.6522753792298717,0.6520858961731437,0.6522753792298717,0.6522753792298717,0.6522753792298717,0.6526078359934994,0.6522753792298717,0.6520858961731437,1714,2
LogReg meta chi2 1000 stack,Completed,2025-07-14T22:30:35.894201,Stack ensemble classifier with LogReg classifier and chi2 1000,0.6429404900816803,0.6435534442844583,0.6429404900816802,0.6425589335732249,0.6429404900816803,0.6429404900816803,0.6429404900816803,0.6435534442844583,0.6429404900816803,0.6425589335732248,1714,2
LogReg meta chi2 5000 stack,Completed,2025-07-14T22:30:50.104695,Stack ensemble classifier with LogReg classifier and chi2 5000,0.6446907817969662,0.645868335804096,0.6446907817969662,0.6439722538573545,0.6446907817969662,0.6446907817969662,0.6446907817969662,0.6458683358040961,0.6446907817969662,0.6439722538573543,1714,2
